userId,userName,userType,age,socialPreference,interests,languages,travelStyle,preferredActivities,preferredCountries,likedUserIds,dislikedUserIds
1,Aisha,Traveler,58,Small Group,"['Hiking', 'Nature', 'Shopping']","['English', 'Spanish']",Luxury,"['Boutiques', 'Local Markets', 'Hiking Trails']","['Egypt', 'Turkey']","[6, 44, 5, 49, 20, 28, 38]",[32]
2,Tariq,Traveler,45,Couples,"['History', 'Adventure']","['English', 'Spanish']",Luxury,"['Mountain Climbing', 'Historical Tours']","['UAE', 'Saudi Arabia', 'Morocco']","[47, 14]",[37]
3,Salma,Traveler,24,Family,"['Luxury', 'Nature']",['English'],Luxury,"['Luxury Shopping', 'Wildlife Photography']","['Saudi Arabia', 'Egypt']","[26, 32, 37]","[14, 4, 49]"
4,Hana,Traveler,26,Family,"['Music', 'Photography', 'Art', 'Luxury']","['English', 'Turkish']",Standard,"['Art Galleries', 'Cityscape Photo Shoots', 'Fine Dining']","['Bahrain', 'Turkey', 'Italy']","[30, 37, 43, 10]","[47, 11, 12]"
5,Laila,Guide,25,Family,"['Adventure', 'Music']","['English', 'French']",Adventure,"['Mountain Climbing', 'Desert Safaris']","['Germany', 'Bahrain']","[15, 7, 24, 50, 36]","[31, 22]"
6,Khaled,Guide,29,Solo,"['Art', 'Hiking']","['English', 'French']",Standard,"['Art Galleries', 'Hiking Trails']","['Spain', 'Jordan']","[47, 12, 26, 15, 19, 20, 29]","[50, 18, 22]"
7,Salma,Guide,51,Family,"['Shopping', 'Music', 'Adventure', 'Architecture']","['English', 'Arabic', 'Italian']",Standard,"['Local Markets', 'Live Music Venues']",['France'],"[32, 49, 44, 24]","[33, 23, 38]"
8,Jana,Traveler,50,Solo,"['Food', 'Music']","['English', 'Arabic', 'Turkish']",Budget,"['Live Music Venues', 'Local Cuisine', 'Fine Dining']",['UAE'],[],"[6, 26, 4]"
9,Aisha,Traveler,40,Couples,"['Architecture', 'History', 'Food']","['English', 'Turkish', 'Spanish']",Standard,"['Architectural Tours', 'Museums', 'Historical Tours']","['Algeria', 'Italy', 'Spain']",[],"[44, 2, 40]"
10,Samir,Traveler,41,Solo,"['Shopping', 'Hiking', 'Food']","['English', 'German']",Budget,"['Hiking Trails', 'Local Markets']","['Jordan', 'Bahrain', 'Germany']",[49],[]
