id,Type,Subtype,City,Country,Description,Price
0001,accommodation,Hostel,A'ali,Bahrain,"A'ali Local Hostel – Authentic hostel offering a warm, local experience in A'ali with a community feel.",22.0
0002,accommodation,Guesthouse,Amwaj Islands,Bahrain,Amwaj Islands Guesthouse – Off‑beat guesthouse on the islands offering authentic stays with seaside charm.,30.0
0003,accommodation,Guesthouse,Budaiya,Bahrain,"Budaiya Traditional Inn – Cozy inn with traditional Bahraini decor and a relaxed, authentic environment.",25.0
0004,accommodation,Hostel,Budaiya,Bahrain,Budaiya Hostel – Budget hostel near Budaiya Beach,14.0
0005,accommodation,Guesthouse,Budaiya,Bahrain,Dar Budaiya – Guesthouse near Royal Stables,35.0
0006,accommodation,Luxury Hotel,Budaiya,Bahrain,Al Areen Palace – 5-star luxury resort with villas,250.0
0007,accommodation,Hostel,Hamad Town,Bahrain,Hamad Hostel – Simple hostel near Hamad Town Souq,12.0
0008,accommodation,Guesthouse,Hamad Town,Bahrain,"Dar Hamad – Guesthouse with garden, family-friendly",30.0
0009,accommodation,Hotel,Hamad Town,Bahrain,Golden Tulip Bahrain – 4-star hotel with dining options,90.0
0010,accommodation,Hotel,Hamad Town,Bahrain,Riffa Views Hotel – 3-star hotel near golf course,70.0
0011,accommodation,Hostel,Isa Town,Bahrain,Isa Town Budget Hostel – Simple and charming hostel with a local vibe in Isa Town.,18.0
0012,accommodation,Hostel,Isa Town,Bahrain,Isa Hostel – Budget hostel near Isa Town Market,13.0
0013,accommodation,Guesthouse,Isa Town,Bahrain,Dar Isa – Guesthouse near Bahrain University,35.0
0014,accommodation,Luxury Hotel,Isa Town,Bahrain,Elite Resort & Spa – 5-star luxury hotel with sea views,190.0
0015,accommodation,Hotel,Isa Town,Bahrain,Lagoona Beach Resort – 4-star resort with pool,110.0
0016,accommodation,Guesthouse,Juffair,Bahrain,Juffair Guesthouse – Modern guesthouse with traditional influences located in the vibrant Juffair district.,28.0
0017,accommodation,Luxury,Manama,Bahrain,Art Rotana – Upscale hotel with art-inspired interiors and a modern touch,200.0
0018,accommodation,Guesthouse,Manama,Bahrain,"Bab Al Bahrain Guesthouse – Authentic guesthouse in the heart of Manama, featuring traditional Bahraini design and warm hospitality.",28.0
0019,accommodation,5‑star Luxury Hotel,Manama,Bahrain,"Four Seasons Hotel Bahrain Bay – Iconic waterfront hotel featuring modern luxury, fine dining, and panoramic city views.",250.0
0020,accommodation,Luxury Hotel,Manama,Bahrain,"Four Seasons Hotel Bahrain Bay – Luxurious hotel on a private island, featuring multiple pools, fine dining, and a lavish spa. Wikipedia",500.0
0021,accommodation,Hostel,Manama,Bahrain,Manama Old Town Backpackers – Lively hostel in historic Manama with vibrant common areas and local decor accents.,25.0
0022,accommodation,Luxury Resort,Manama,Bahrain,"Raffles Al Areen Palace Bahrain – Moorish-style villas with private pools, offering intimate dining and proximity to natural parks. Raffles",600.0
0023,accommodation,4‑star Hotel,Manama,Bahrain,The Diplomat Radisson Blu Hotel – Centrally located hotel with contemporary design and excellent city views,160.0
0024,accommodation,Luxury Resort,Manama,Bahrain,"The Ritz-Carlton, Bahrain – Beachfront resort offering elegant villas, a private beach, and gourmet restaurants.",450.0
0025,accommodation,Hostel,Manama,Bahrain,"Manama Hostel – Budget hostel near Bab Al Bahrain, shared dorms",15.0
0026,accommodation,Guesthouse,Manama,Bahrain,"Dar Al Manama – Guesthouse in old town, near souk",40.0
0027,accommodation,Luxury Hotel,Manama,Bahrain,"Gulf Hotel Bahrain – 5-star luxury hotel with pool, near Seef",200.0
0028,accommodation,Hotel,Manama,Bahrain,Mercure Grand Seef – 4-star hotel with modern amenities,120.0
0029,accommodation,Guesthouse,Muharraq,Bahrain,"Muharraq Cultural Guesthouse – Quaint guesthouse with rich local history and a relaxed, authentic atmosphere.",25.0
0030,accommodation,Hostel,Muharraq,Bahrain,Muharraq Hostel – Simple hostel near Muharraq Souq,14.0
0031,accommodation,Guesthouse,Muharraq,Bahrain,"Dar Al Muharraq – Guesthouse near Arad Fort, traditional style",35.0
0032,accommodation,Luxury Hotel,Muharraq,Bahrain,Movenpick Hotel Bahrain – 5-star hotel near airport,180.0
0033,accommodation,Hotel,Muharraq,Bahrain,Fraser Suites Diplomatic – 4-star hotel with serviced apartments,110.0
0034,accommodation,Hostel,Riffa,Bahrain,Riffa Local Hostel – Budget‑friendly hostel in Riffa that offers a genuine glimpse into local life and culture.,22.0
0035,accommodation,Hostel,Riffa,Bahrain,Riffa Hostel – Budget hostel near Riffa Clock Tower,13.0
0036,accommodation,Guesthouse,Riffa,Bahrain,"Dar Al Riffa – Guesthouse in East Riffa, near mall",30.0
0037,accommodation,Hotel,Riffa,Bahrain,Ramee Palace Hotel – 4-star hotel with pool,100.0
0038,accommodation,Luxury Hotel,Riffa,Bahrain,Al Bander Resort – 5-star luxury resort with beach,220.0
0039,accommodation,Guesthouse,Sitra,Bahrain,Sitra Authentic Guesthouse – Homely guesthouse in Sitra with traditional touches and personal service.,20.0
0040,accommodation,Hostel,Sitra,Bahrain,Sitra Hostel – Simple hostel near Sitra Causeway,12.0
0041,accommodation,Guesthouse,Sitra,Bahrain,Dar Al Sitra – Guesthouse near industrial area,30.0
0042,accommodation,Hotel,Sitra,Bahrain,Sitra Hotel – 3-star hotel with basic amenities,60.0
0043,accommodation,Hotel,Sitra,Bahrain,Bahrain Beach Bay – 4-star hotel with beach access,90.0
0044,accommodation,Hostel,Dubrovnik,Croatia,"Hostel Angelina – Budget hostel in Old Town, near Pile Gate",25.0
0045,accommodation,Hostel,Dubrovnik,Croatia,City Walls Hostel – Simple hostel with views of fortifications,23.0
0046,accommodation,Guesthouse,Dubrovnik,Croatia,"Guesthouse Maria – Guesthouse near Stradun, traditional style",70.0
0047,accommodation,Luxury Hotel,Dubrovnik,Croatia,Hotel Excelsior – 5-star luxury hotel with seafront,350.0
0048,accommodation,Hotel,Dubrovnik,Croatia,"Valamar Lacroma – 4-star hotel with pool, near Lapad",150.0
0049,accommodation,Guesthouse,Dubrovnik,Croatia,Guesthouse Dubrovnik – Guesthouse near Banje Beach,75.0
0050,accommodation,Luxury Hotel,Dubrovnik,Croatia,Rixos Premium Dubrovnik – 5-star luxury hotel with spa,400.0
0051,accommodation,Hostel,Dubrovnik,Croatia,Hostel Free Bird – Budget hostel near Gruž Port,22.0
0052,accommodation,Luxury Hotel,Dubrovnik,Croatia,Hotel More – 5-star luxury hotel with cave bar,300.0
0053,accommodation,Hostel,Hvar,Croatia,Hostel Marinero – Budget hostel near Hvar Harbor,25.0
0054,accommodation,Guesthouse,Hvar,Croatia,Guesthouse Hvar – Guesthouse near St. Stephen’s Square,60.0
0055,accommodation,Hotel,Hvar,Croatia,Hotel Amfora – 4-star hotel with beach access,140.0
0056,accommodation,Luxury Hotel,Hvar,Croatia,Palace Elisabeth – 5-star luxury hotel with heritage,350.0
0057,accommodation,Hostel,Hvar,Croatia,Hostel Villa Skansi – Budget hostel with sea views,23.0
0058,accommodation,Guesthouse,Hvar,Croatia,Guesthouse Hvar Town – Guesthouse near Pakleni Islands ferry,70.0
0059,accommodation,Hotel,Hvar,Croatia,Adriana Hvar Spa Hotel – 4-star hotel with rooftop pool,160.0
0060,accommodation,Guesthouse,Hvar,Croatia,Guesthouse Villa Nora – Guesthouse near Hvar Fortress,75.0
0061,accommodation,Hotel,Hvar,Croatia,Hotel Podstine – 4-star hotel with private beach,150.0
0062,accommodation,Hostel,Osijek,Croatia,Hostel Tufna – Budget hostel near Drava River,16.0
0063,accommodation,Hostel,Osijek,Croatia,Osijek Hostel – Simple hostel near Tvrđa fortress,15.0
0064,accommodation,Guesthouse,Osijek,Croatia,Guesthouse Maksimilian – Guesthouse in historic Tvrđa,40.0
0065,accommodation,Hotel,Osijek,Croatia,Hotel Osijek – 4-star hotel with river views,100.0
0066,accommodation,Hotel,Osijek,Croatia,Hotel Waldinger – 4-star boutique hotel in old town,110.0
0067,accommodation,Guesthouse,Osijek,Croatia,Guesthouse Drava – Guesthouse near Copacabana Beach,40.0
0068,accommodation,Hotel,Osijek,Croatia,Hotel Millennium – 3-star hotel near city center,80.0
0069,accommodation,Hostel,Osijek,Croatia,Hostel Osijek – Simple hostel near Cathedral,15.0
0070,accommodation,Hotel,Osijek,Croatia,Hotel Silver – 3-star hotel near riverfront,80.0
0071,accommodation,Hostel,Pula,Croatia,Hostel Pipistrelo – Artsy hostel near Pula Arena,20.0
0072,accommodation,Hostel,Pula,Croatia,Crazy House Hostel – Budget hostel in city center,18.0
0073,accommodation,Guesthouse,Pula,Croatia,Guesthouse Rivijera – Guesthouse near Roman Amphitheatre,50.0
0074,accommodation,Hotel,Pula,Croatia,Park Plaza Histria – 4-star hotel with sea views,120.0
0075,accommodation,Luxury Hotel,Pula,Croatia,Hotel Valsabbion – 5-star luxury boutique hotel,230.0
0076,accommodation,Guesthouse,Pula,Croatia,Guesthouse Pula – Guesthouse near Sergii Arch,50.0
0077,accommodation,Hotel,Pula,Croatia,Hotel Amfiteatar – 3-star hotel near Roman ruins,90.0
0078,accommodation,Hostel,Pula,Croatia,Hostel Antique – Budget hostel near Pula Cathedral,20.0
0079,accommodation,Hotel,Pula,Croatia,Hotel Scaletta – 3-star hotel near Arena,100.0
0080,accommodation,Hostel,Rijeka,Croatia,Hostel Fun – Budget hostel near Korzo promenade,18.0
0081,accommodation,Hostel,Rijeka,Croatia,Rijeka Hostel – Simple hostel near Trsat Castle,16.0
0082,accommodation,Guesthouse,Rijeka,Croatia,Guesthouse Molo Longo – Guesthouse near harbor,45.0
0083,accommodation,Hotel,Rijeka,Croatia,Grand Hotel Bonavia – 4-star hotel in city center,110.0
