city,country,activities
Abha,Saudi arabia,"[""Abha Dam Lake"", ""Abha Palace Hotel"", ""Al Bastah District"", ""Al Muftaha Village"", ""Al Sahab Park"", ""Al Soudah"", ""Al Soudah Cable Car"", ""Al-Habala Valley"", ""Andalus Park"", ""Art Street"", ""Aseer National Park"", ""Asir National Park"", ""Boulevard"", ""Fatima Museum"", ""Fog Walkway (Al Dhabab Walkway)"", ""Green Mountain (Jabal Al Akhdar)"", ""Green Mountain (Jebel Al Akhdar)"", ""Habala Cable Car"", ""Honey Market"", ""Jabal Sawda"", ""New Abha Cable Car"", ""Paragliding"", ""Rijal Alma Village"", ""Rijal Almaa"", ""Rijal Almaa Historical Village"", ""Rijal Almaa Village"", ""Rose Garden"", ""Sarawat Mountain Hike"", ""Shada Palace"", ""Shamsan Ottoman Castle"", ""Tamniah Museum"", ""Traditional Asiri Food"", ""Tuesday Market""]"
Abu Dhabi,United Arab Emirates,"[""Al Ain Zoo"", ""Al Hudayriat Island"", ""Al Qana"", ""Corniche Beach"", ""Desert Camping"", ""Desert Safari"", ""Dhow Cruise Dinner"", ""Eastern Mangrove Lagoon National Park"", ""Eastern Mangroves Promenade"", ""Emirates Palace"", ""Emirates Palace Hotel"", ""Emirates Park Zoo"", ""Ferrari World"", ""Ferrari World Abu Dhabi"", ""Finz Restaurant"", ""Heritage Village"", ""Louvre Abu Dhabi"", ""Manarat Al Saadiyat"", ""Mangrove National Park"", ""Marina Mall"", ""Observation Deck at 300"", ""Qasr Al Hosn"", ""Qasr Al Watan"", ""Saadiyat Beach Club"", ""Saadiyat Island"", ""Sheikh Zayed Grand Mosque"", ""Sheikh Zayed Mosque"", ""Sir Bani Yas Island"", ""Souk Central Market"", ""The Corniche"", ""The Lobby Lounge"", ""Wahat Al Karama"", ""Warner Bros. World Abu Dhabi"", ""Yas Island Nightlife"", ""Yas Mall"", ""Yas Marina"", ""Yas Marina Circuit"", ""Yas Waterworld""]"
Achakar,Morocco,"[""Beach and Cap Spartel Lighthouse""]"
Ada Bojana,Montenegro,"[""Relax at Ada Bojana Beach""]"
Aden,Yamen,"[""Aden Beach"", ""Cisterns of Tawila"", ""Tawila Tanks""]"
Agadir,Morocco,"[""Agadir Beach"", ""Beach and Resort"", ""Souss-Massa National Park"", ""Tagine Tasting at Souk El Had""]"
Ajloun,Jordan,"[""Ajloun Castle""]"
Ajman,United Arab Emirates,"[""Al Tallah Camel Racecourse"", ""Al Zorah Nature Reserve""]"
Akbou,Algeria,"[""Traditional Markets""]"
Al Ahsa,Saudi arabia,"[""Al Ahsa Oasis""]"
Al Birk,Saudi arabia,"[""Al Birk Beach""]"
Al Hoota Cave,Oman,"[""Cave Exploration""]"
Al Hudaydah,Yamen,"[""Culinary Experience at JUNEED""]"
Al Khobar,Saudi arabia,"[""Half Moon Bay""]"
Al Mahrah Region,Yamen,"[""Hawf Protected Area""]"
Al Namas,Saudi arabia,"[""Al Namas Museum"", ""Wadi Tihama Hike""]"
Al Soudah,Saudi arabia,"[""Al Sahab Park (Clouds Park)""]"
Al Ula,Saudi arabia,"[""Al Ula Old Town"", ""Elephant Rock (Jabal AlFil)"", ""Helicopter Tour"", ""Maraya Concert Hall"", ""Stargazing in Gharameel""]"
Al-Magar,Saudi arabia,"[""Al Maqar Museum""]"
Al-Namas,Saudi arabia,"[""Al Majarda Forest"", ""Al Namas Museum"", ""Qahtan Fort"", ""The Flower Men of Al-Namas""]"
Al-Ula,Saudi arabia,"[""Al-Ula Oasis"", ""Al-Ula Old Town"", ""Elephant Rock"", ""Hegra (Mada'in Saleh)""]"
AlUla,Saudi arabia,"[""Al Gharameel Rock Formations"", ""AlUla Fresh Farm"", ""AlUla Oasis Night Walk"", ""AlUla Old Town Night Tour"", ""AlUla Stairway and Giant Swing"", ""AlUla on Wheels"", ""Camel Caravan at Night"", ""Dadan and Jabal Ikmah Night Tour"", ""Daimumah Caf\u00e9"", ""Dance Performances at AlJadidah"", ""Desert Buggy Adventure"", ""Desert Meditation Session"", ""Evening Hot Air Balloon Ride"", ""Face Rock"", ""Hand Rock"", ""Harrat Uwayrid Lookout Point"", ""Madrasat Addeera Night Visit"", ""Night Hike in Hidden Valley"", ""Night Market"", ""Night Photography Workshop"", ""Okto Restaurant at Harrat Viewpoint"", ""Rock Bridge"", ""Vessel Hole Rock"", ""Winter Park"", ""Zipline Adventure""]"
Albacete,Spain,"[""Lagunas de Ruidera""]"
